Ticker,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,from Open,Gap
AB,1.42,1.11,0.11689999999999999,0.1387,0.35229999999999995,0.018799999999999997,2.1994,73.12,42.36,0.0168,0.0040999999999999995
ABC,0.52,2.73,0.0759,0.08289999999999999,0.1424,-0.0067,0.6087,68.15,115.92,0.0049,-0.0024
ABR,1.93,0.55,0.0134,0.07919999999999999,0.33399999999999996,-0.0326,3.3994999999999997,56.52,16.63,-0.0072,0.029500000000000002
ABT,0.71,2.43,0.0097,0.0148,0.1242,-0.0645,0.9518000000000001,53.88,120.25,0.0175,0.0006
ABTX,1.12,1.51,0.0726,0.12990000000000002,0.42950000000000005,-0.0132,1.0484,68.75,42.77,0.04650000000000001,-0.020099999999999996
ACGL,0.86,0.97,0.011699999999999999,0.0487,0.1358,-0.0383,0.7635,55.65,36.91,-0.0139,-0.0053
ACI,,0.63,0.06309999999999999,0.0709,0.18899999999999997,-0.1018,0.43450000000000005,59.81,18.52,0.024900000000000002,0.0028000000000000004
ACLS,1.42,2.27,-0.0037,0.026600000000000002,0.33490000000000003,-0.12960000000000002,1.9615,49.88,38.47,-0.0191,0.014199999999999999
ACN,1.09,5.76,0.024700000000000003,0.029900000000000003,0.1118,-0.0285,0.9233,56.57,263.78,-0.0096,-0.002
ACRS,0.69,2.05,0.1805,0.39640000000000003,2.7836000000000003,0.0111,37.2714,68.86,26.79,0.0755,-0.0012
ADM,0.88,1.13,-0.0113,0.0387,0.1833,-0.0387,0.9651000000000001,51.4,56.83,-0.0141,0.0005
ADTN,1.43,0.87,0.0285,0.055,0.3558,-0.0799,2.4346,54.12,17.86,0.0148,0.0
AEF,,0.14,-0.005,0.0027,0.20350000000000001,-0.044800000000000006,0.9975,50.02,8.74,0.0116,-0.0034999999999999996
AFG,0.94,2.71,0.0291,0.1411,0.48109999999999997,-0.0361,1.643,63.41,116.28,-0.0187,0.0
AFL,0.99,1.09,0.024300000000000002,0.0738,0.253,-0.030699999999999998,1.1149,60.67,51.16,-0.0037,-0.008100000000000001
AFMD,2.6,0.54,0.3285,0.3287,0.763,-0.030299999999999997,4.6599,70.29,8.32,0.0109,0.021099999999999997
AGCO,1.35,4.27,0.0814,0.1744,0.6431,-0.030600000000000002,3.0652999999999997,68.31,143.91,-0.0189,-0.0051
