Ticker,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,from Open,Gap
AB,1.45,1.23,-0.0049,0.036699999999999997,0.2213,-0.057,1.824,52.73,37.39,0.0108,0.014499999999999999
ABC,0.48,2.89,-0.0058,0.006,0.042199999999999994,-0.0713,0.4548,50.42,104.83,0.0106,0.0072
ABR,1.87,0.66,-0.0139,0.0496,0.3006,-0.08779999999999999,3.4294,49.81,15.68,-0.0279,0.0132
ABT,0.72,2.95,-0.048499999999999995,0.0040999999999999995,0.10949999999999999,-0.08779999999999999,0.9031,42.5,117.25,0.0064,0.0042
ACGL,0.85,1.01,0.0337,0.04650000000000001,0.135,-0.1394,0.7376999999999999,61.93,36.37,0.008,0.0106
ACI,,0.71,0.0643,0.047400000000000005,0.15039999999999998,-0.1392,0.3749,60.91,17.75,-0.0139,0.0039000000000000003
ACIA,0.64,0.2,0.0016,0.1679,0.5199,-0.0001,0.8969,92.47,114.99,0.0,0.0
ACLS,1.42,2.04,-0.03,0.0499,0.3214,-0.0971,1.8637000000000001,49.61,37.2,0.0305,0.0089
ACRS,0.65,2.08,-0.0432,0.3439,2.5656,-0.1637,29.442899999999998,53.78,21.31,-0.0023,0.0104
ADM,0.88,1.29,0.0316,0.0855,0.2255,-0.018600000000000002,0.9914000000000001,61.42,57.59,0.0235,0.0141
ADTN,1.43,0.91,-0.0011,0.0113,0.2872,-0.1043,2.4427000000000003,49.47,16.52,0.0052,0.014199999999999999
AEL,1.31,1.08,0.0255,0.025699999999999997,0.14429999999999998,-0.12990000000000002,2.2856,58.48,29.8,0.0095,0.0204
AES,0.87,1.06,-0.052000000000000005,0.0006,0.3283,-0.106,2.2047,45.21,25.99,-0.0019,0.0062
AFG,0.93,3.51,0.0575,0.18309999999999998,0.4987,-0.0103,1.6377000000000002,68.99,113.42,0.0227,0.0158
AFL,0.98,1.11,0.048799999999999996,0.0823,0.24670000000000003,-0.004,1.1651,64.8,49.95,0.019799999999999998,0.012
AGCO,1.3,4.75,0.0791,0.15539999999999998,0.5998,-0.0004,2.7758,66.38,133.4,0.0369,0.023
AGIO,1.62,2.94,-0.0617,0.0088,0.0946,-0.1704,0.7603,47.61,48.89,0.04019999999999999,-0.006999999999999999
AGO,1.13,1.42,0.07339999999999999,0.1699,0.5305,-0.0447,2.2016,67.85,43.67,-0.0009,0.012
AGRO,1.25,0.27,0.0037,0.0814,0.47759999999999997,-0.0483,1.5015,58.72,8.28,0.0036,0.0073
AGX,0.59,1.67,0.0603,0.1054,0.1739,-0.044800000000000006,0.7776000000000001,61.1,50.93,0.0097,0.0147
ALG,1.0,5.04,0.0134,0.0453,0.2661,-0.0516,1.1796,54.17,154.73,0.0043,0.0183
ALLT,0.61,0.91,-0.059500000000000004,0.0437,0.2741,-0.17670000000000002,1.2205,47.36,14.3,-0.0199,0.0189
ALPN,1.45,0.79,0.0512,0.005699999999999999,0.35350000000000004,-0.2089,5.3171,56.29,12.95,-0.0077,0.0054
ALTG,,0.41,0.0458,0.0876,0.28600000000000003,-0.0072,2.0919,61.12,11.1,0.0091,0.011000000000000001
ALTM,3.94,2.95,-0.0012,0.0623,1.0427,-0.09539999999999998,4.7309,54.01,53.87,-0.020499999999999997,0.019299999999999998
ALV,1.89,2.68,0.0155,0.023,0.1841,-0.020099999999999996,1.4633,54.39,94.0,0.028300000000000002,0.004
AMAT,1.49,6.15,0.0005,0.0993,0.5228,-0.0888,2.0963,52.22,113.45,0.016200000000000003,0.031400000000000004
AMKR,1.71,1.56,-0.035699999999999996,0.1381,0.5126,-0.17989999999999998,2.9593000000000003,50.59,21.38,0.011399999999999999,0.018799999999999997
AMYT,,0.48,-0.023,0.0131,0.11380000000000001,-0.0955,0.3936,46.97,14.02,0.0115,-0.0072
ANDE,0.79,1.36,0.0542,0.1027,0.4089,-0.048499999999999995,1.787,58.53,27.87,0.060899999999999996,0.0174
ANTM,1.01,10.11,0.11320000000000001,0.079,0.1481,-0.0216,0.9505,71.57,333.6,0.0305,0.0069
AOS,1.05,1.86,0.0333,0.0795,0.1809,-0.009000000000000001,0.8482,60.61,62.48,0.0121,0.0113
AOSL,2.62,3.16,-0.08869999999999999,0.0602,0.7439,-0.23440000000000003,4.6564,46.81,32.92,-0.0033,0.0229
APO,1.63,1.69,-0.023,0.0118,0.045,-0.1052,1.5468000000000002,48.47,49.56,-0.0084,0.0085
APTS,1.15,0.39,0.1093,0.1772,0.2751,-0.0782,0.8217,68.82,9.13,-0.0022,0.0033
APTV,2.19,6.93,-0.0362,0.0236,0.3983,-0.0872,4.0024,47.52,146.17,-0.013999999999999999,0.0126
AR,4.83,0.74,0.1114,0.3256,1.2202,-0.0271,14.485899999999999,65.5,9.88,-0.0208,0.0275
ARCC,,0.37,0.031,0.0711,0.2118,-0.0095,1.3722,65.71,18.74,0.008100000000000001,0.0038
ARD,1.27,1.14,0.1864,0.3282,0.5939,-0.0408,1.7619999999999998,73.43,25.41,0.022099999999999998,-0.0012
ARTNA,0.0,1.09,0.0023,0.0075,0.056900000000000006,-0.0673,0.2882,52.33,38.66,0.0268,0.009399999999999999
ASO,,1.72,-0.0097,0.0742,0.2876,-0.0809,1.0365,53.15,24.54,-0.0496,0.0062
ATCO,1.16,0.5,0.0658,0.1855,0.4725,-0.0381,1.6197,73.22,14.12,-0.0181,0.025699999999999997
ATEC,1.71,1.06,-0.0599,0.0103,0.6727,-0.1251,5.9589,44.38,15.24,-0.0174,-0.0258
ATGE,1.24,1.63,-0.030899999999999997,0.0279,0.19190000000000002,-0.1152,0.9636,48.32,38.8,0.0184,0.0021
ATH,1.63,1.79,0.067,0.10460000000000001,0.2948,-0.0060999999999999995,2.6559,64.41,48.88,0.0034999999999999996,0.0195
