,Price,Price $ Change,Price % Change,Comp. Rating,EPS Rating,RS Rating,Ind Grp RS,SMR Rating,Acc/Dis Rating,Spon Rating,Vol. % Change,Vol. (1000s),Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,from Open,Gap,Company,Sector,Industry,Country
SWKS,187.7,4.22,2.3,95.0,84.0,71.0,10.0,5.0,9.0,4.0,4.0,2717,1.11,7.76,0.0716,0.0591,0.23989999999999997,-0.0415,1.3607,58.35,187.7,0.0091,0.0137,"Skyworks Solutions, Inc.",Technology,Semiconductors,USA
ARW,112.18,1.36,1.23,82.0,79.0,73.0,8.0,3.0,6.0,3.0,-51.0,279,1.57,3.34,0.056299999999999996,0.0775,0.2842,-0.0034000000000000002,1.2894999999999999,62.82,112.14,0.004699999999999999,0.0072,"Arrow Electronics, Inc.",Technology,Electronics & Computer Distribution,USA
AVY,187.99,4.34,2.36,91.0,91.0,72.0,8.0,4.0,11.0,4.0,35.0,729,0.98,4.83,0.0412,0.08539999999999999,0.3207,0.006999999999999999,1.016,63.11,188.07,0.0245,-0.0004,Avery Dennison Corporation,Industrials,Business Equipment & Supplies,USA
BC,96.76,1.39,1.46,95.0,91.0,84.0,7.0,5.0,10.0,3.0,-45.0,411,1.87,4.21,-0.0092,0.0393,0.30329999999999996,-0.1014,2.7841000000000005,51.9,96.91,0.0034000000000000002,0.0127,Brunswick Corporation,Consumer Cyclical,Leisure,USA
CLF,19.41,-0.7,-3.48,90.0,20.0,96.0,12.0,4.0,10.0,3.0,60.0,33369,2.19,1.32,0.2061,0.20920000000000002,0.8591,-0.0452,4.8848,63.96,19.42,-0.036699999999999997,0.0025,Cleveland-Cliffs Inc.,Basic Materials,Steel,USA
CMC,30.83,-0.01,-0.03,92.0,86.0,78.0,10.0,4.0,11.0,3.0,-18.0,1320,1.29,1.44,0.0529,0.2139,0.4032,-0.050300000000000004,1.2449,62.93,30.8,0.012199999999999999,-0.013300000000000001,Commercial Metals Company,Basic Materials,Steel,USA
COHU,46.0,4.16,9.94,98.0,70.0,93.0,12.0,4.0,10.0,3.0,-23.0,561,1.85,2.99,0.10400000000000001,0.0431,0.603,-0.113,3.2125,58.56,46.0,0.0735,0.0241,"Cohu, Inc.",Technology,Semiconductor Equipment & Materials,USA
DAN,24.58,0.25,1.03,54.0,19.0,88.0,11.0,2.0,4.0,3.0,-20.0,1075,2.65,1.2,-0.013999999999999999,0.0552,0.43200000000000005,-0.1056,2.78,51.83,24.57,0.0053,0.0045000000000000005,Dana Incorporated,Consumer Cyclical,Auto Parts,USA
DE,372.08,-2.06,-0.55,95.0,93.0,87.0,10.0,4.0,6.0,4.0,-18.0,1548,1.07,9.52,0.0175,0.1074,0.4892,-0.051699999999999996,2.1576,60.44,372.12,-0.009300000000000001,0.004,Deere & Company,Industrials,Farm & Heavy Construction Machinery,USA
DIOD,82.62,2.78,3.48,92.0,82.0,72.0,10.0,4.0,9.0,3.0,-35.0,242,1.12,4.18,0.0147,0.0391,0.2968,-0.09230000000000001,1.1965000000000001,52.86,82.62,0.0169,0.0177,Diodes Incorporated,Technology,Semiconductors,USA
